city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,2way_int_prop,5way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,6way_int_count,7way_int_count,6way_int_prop,7way_int_prop
yingkou,11381,3.3220338983050848,11.633276954781014,10.499525387154051,12375.80881245065,7641.290659123182,69,5,266,365,3.0,0.007062146892655367,0.00423728813559322,0.0015224230399993582,0.47652916073968704,0.8451106352605282,0.0,0.0,0.0,0.0
yingshan,10508,3.1774193548387095,30.743870953846262,27.768657635732108,27517.679053462598,14135.203763538313,12,0,67,44,1.0,0.0,0.008064516129032258,0.0021749860467629003,0.6370967741935484,1.0123456790123457,0.0,0.0,0.0,0.0
yingshan,11646,3.08348134991119,33.02044068256278,28.15241834392564,23067.667897116586,14490.35540996104,83,3,276,188,12.0,0.0053285968028419185,0.021314387211367674,0.0022787874933601483,0.6410714285714286,0.7067264573991031,0.0,1.0,0.0,0.0017761989342806395
yingshan,11794,3.032258064516129,38.39518079639259,34.266666732264355,39683.862607694886,24006.401009811587,10,2,57,23,1.0,0.021505376344086023,0.010752688172043012,0.0015993726331864657,0.7362637362637363,0.6440677966101694,0.0,0.0,0.0,0.0
yingtan,12232,2.8095541401273887,71.30311640747593,56.72458114199837,24642.094435124935,15480.913399316296,321,3,905,336,5.0,0.001910828025477707,0.0031847133757961785,0.004605872700678307,0.7823867262284621,0.6756152125279642,0.0,0.0,0.0,0.0
yingxi,10465,2.3666666666666667,26.276445256406756,15.765867153844052,21432.951020487206,16682.364163823768,12,0,13,5,0.0,0.0,0.0,0.0015751032046997303,0.8333333333333334,0.36363636363636365,0.0,0.0,0.0,0.0
yining qulja,6411,3.069206349206349,32.39930618115876,27.935401773976885,17167.882082037424,10769.05924525625,217,6,811,535,4.0,0.0038095238095238095,0.0025396825396825397,0.0030085549204709396,0.6551943913320586,0.7405043089690393,2.0,0.0,0.0012698412698412698,0.0
yintai,10449,2.5454545454545454,23.956527874118184,17.55904599864344,22911.705426462388,12406.241318398243,47,0,115,14,0.0,0.0,0.0,0.0019310061169446272,0.9204545454545454,0.6282420749279539,0.0,0.0,0.0,0.0
yitong,11358,2.842696629213483,10.322140160958009,8.118537205247872,11191.596758619671,7345.224036502041,19,0,46,24,0.0,0.0,0.0,0.001405285953112145,0.7303370786516854,0.6358381502890174,0.0,0.0,0.0,0.0
yiwu,12451,3.1530369867662027,48.34243844804116,43.13418456027289,22116.044044341776,15585.379324401829,635,12,3109,2094,42.0,0.0020359687818120122,0.007125890736342043,0.003101781319646935,0.6365181910914655,0.7466621311335998,2.0,0.0,0.00033932813030200206,0.0
yixian,11133,2.56140350877193,5.374901730989904,3.4889712990636212,7676.458414923227,3838.2292074616125,20,0,22,15,0.0,0.0,0.0,0.0014003597597926048,0.7368421052631579,0.8073394495412844,0.0,0.0,0.0,0.0
yixing,12285,3.3568,18.93794689953689,17.544114007730975,13313.206410656632,9747.174495584133,46,3,266,302,8.0,0.0048,0.0128,0.0019429165762977312,0.5016077170418006,0.6214689265536724,0.0,0.0,0.0,0.0
yiyang,10856,3.0846153846153848,14.594042447867675,12.57332887816292,13824.954709549043,9333.916611773853,36,3,126,93,2.0,0.011538461538461539,0.007692307692307693,0.0015635496924687189,0.6303501945525292,0.6345776031434185,0.0,0.0,0.0,0.0
yiyang,11503,3.138403041825095,57.63231428055292,51.40890087535253,32012.0437048039,20946.946457710535,142,6,706,450,11.0,0.0045627376425855515,0.008365019011406844,0.0027513468083238722,0.6478227654698243,0.7332567929582855,0.0,0.0,0.0,0.0
yiyang,12263,3.043956043956044,15.880672131280539,13.262978922827703,16789.780927391195,8975.423616075164,15,1,41,33,1.0,0.01098901098901099,0.01098901098901099,0.0017693507081758162,0.6222222222222222,0.9257142857142857,0.0,0.0,0.0,0.0
yiyuan,11470,3.123046875,24.544777467090785,21.141107154271555,17579.20696801098,11405.049548678666,71,0,241,195,5.0,0.0,0.009765625,0.002152097398817038,0.609375,0.6918547595682041,0.0,0.0,0.0,0.0
yizhang,11919,2.7,43.88869152854299,35.1109532228344,33084.54430748971,21692.92253724219,32,1,112,13,2.0,0.00625,0.0125,0.0020231802078855598,0.9056603773584906,0.6677316293929713,0.0,0.0,0.0,0.0
yizhen,12101,2.969047619047619,16.402471086328575,13.47345839234133,19224.16592681322,11201.825965334105,75,1,209,133,1.0,0.002380952380952381,0.002380952380952381,0.0014642676236078587,0.6778042959427207,0.8055222088835534,1.0,0.0,0.002380952380952381,0.0
yi an,10611,3.234375,19.60387410191876,18.225476704127598,16065.78604841275,8057.530729027407,9,0,71,48,0.0,0.0,0.0,0.0024329878173837342,0.625,1.0318725099601593,0.0,0.0,0.0,0.0
yokadouma,3204,2.9753086419753085,86.6299499773959,77.53915275754571,38084.35432980996,19263.74529390968,17,2,111,32,0.0,0.012345679012345678,0.0,0.004497046065324813,0.8,0.9777777777777777,0.0,0.0,0.0,0.0
