n_nodes,n_edges
358,998
2716,5176
705,2122
836,2225
58931,140231
317,703
149,344
29,68
693,1446
959,2248
486,1307
362,727
58,99
472,1117
1916,3999
3,6
35,58
6740,16029
1059,2646
22,44
228,539
176,401
4507,10575
231,430
177,415
1086,2865
1469,3770
265,716
2253,6112
3672,10801
11568,29530
3694,10249
3195,8233
61,167
29941,77668
9136,26186
6173,11224
3142,8474
7470,21845
1424,3445
5623,15164
3110,8388
1181,3063
30362,80976
3759,9353
38444,99942
4351,12032
1492,3934
3595,9008
1247,3877
13348,34882
2769,7032
9135,24436
2714,7481
1243,3857
658,2004
1616,4082
12040,29791
2862,8232
3495,10249
5015,11006
3633,9629
2672,7298
26410,61099
7142,18862
3891,10822
3682,10910
25163,71475
5304,14204
4944,14780
5303,13784
3890,11648
2229,6168
717,1811
124,352
82,233
546,1449
117,312
2543,6966
235,632
284,804
500,1363
834,2161
424,1064
92,267
289,786
130,320
5468,13788
952,2339
1129,2660
1797,4170
293,537
3079,6756
8,14
952,2683
4,3
9632,25661
1500,3089
22358,45929
22,52
508,1266
10,18
47125,125632
8,13
117916,277505
30,62
285,704
1715,3854
2604,6013
158,297
469,1002
1940,4086
241,507
412,921
878,1910
545,1206
81,241
1109,2298
590,1228
6260,13379
187,405
891,1847
426,932
470,1081
1523,3866
641,1608
529,1239
878,2086
383,1019
318,730
4249,10271
362,886
4608,10633
688,1700
337,852
163,380
2217,5284
382,947
618,1511
432,1035
1663,4129
3715,8662
6194,15223
10833,26531
38395,98447
4845,11855
4845,11855
556,1317
471,1205
310,770
838,1883
1108,2716
187,463
5389,13846
955,2468
15302,35725
6974,16628
2149,5104
2100,5028
10581,26075
10598,27398
9606,24004
3521,8948
42919,107549
2959,7839
74,194
3386,9204
1259,2936
5067,11498
157,380
13551,35541
15234,39082
3505,9889
279,804
9015,23447
84883,220632
7363,19406
17712,45861
7461,18930
13296,35039
8953,22410
125048,334871
15223,39021
304,779
978,2538
37,97
2117,5973
4,6
26152,73766
6923,16580
1733,3911
3136,7015
2521,5053
1227,2712
1049,2203
4230,9002
1778,3701
65,180
1741,3727
5826,12551
30,60
31,54
196,530
320,699
1031,1967
1233,2443
478,1007
2271,4417
2972,5853
4583,9113
500,1009
1701,3034
155,326
1014,1870
1459,2738
743,1593
1183,2440
372,700
422,838
538,1039
190,369
1,1
780,1517
824,1554
774,1618
1053,2349
558,1116
639,1260
800,1636
531,1107
579,1302
33,98
606,1437
242,574
183,397
86,187
524,991
1403,3214
14469,31874
1390,3064
280,644
37687,78674
725,1707
462,1026
72,138
1411,3462
208,534
1163,2793
197,509
98,186
1119,2976
195,428
78,164
2161,6115
2486,6270
886,2163
3240,8402
12995,33063
23757,65530
3938,10640
30696,77695
1501,3960
30938,79483
1022,2445
347,808
642,1714
120046,293318
12958,31695
25747,69590
27541,75557
23660,65210
1926,4959
4867,12376
7461,18054
24723,60107
1749,4138
7163,18397
3875,9626
144876,366041
6209,16105
5888,14330
4,3
78,154
107,238
1285,2900
1226,2254
9449,23521
7063,16197
2119,4138
24834,58161
10134,21839
6810,16283
133,258
67,157
20446,46233
42095,102773
15189,40374
18956,45859
5431,16333
9818,26831
5676,18592
59,105
3423,8115
905,2038
1209,2913
725,1562
3037,7237
1254,2987
4225,9626
1288,2967
3273,7683
947,2239
819,1876
856,2012
845,2098
1377,2888
74,168
275,559
2287,5054
103,258
103,212
1248,3391
13,19
28,39
2,2
1404,3194
14565,38558
2175,5439
4531,11748
58,89
681,1735
15771,40987
1438,3463
103,277
921,1977
2853,6452
6212,15044
1056,2127
1033,2357
7334,16951
1396,3241
9252,19114
664,1736
177,434
452,1077
711,1605
303,827
899,2360
414,1175
159,392
700,1723
4217,10291
591,1672
744,1816
124,327
2975,8078
13430,27670
500,1357
2261,4379
2916,7857
79,171
5795,14960
11436,23552
2646,6586
438,822
102,219
9699,23841
977,2362
975,2820
76,171
1640,3446
10,12
860,1580
3,2
316,632
676,1410
1516,3151
714,1507
438,872
3,2
511,914
385,801
2,2
2,2
474,865
334,556
635,1180
511,914
3,2
8,9
797,1432
316,632
637,1148
383,697
635,1180
569,1075
2,1
10,9
13,16
255,603
303,763
694,1440
85,227
664,1480
811,1779
4813,13453
1852,5091
8712,25767
433,1034
86,150
733,1931
481,1316
905,1816
2302,5820
1501,3504
2178,5069
3545,8612
444,1027
583,1360
81768,221681
25728,69137
418,1389
5348,14746
107726,288258
76513,209307
39148,102494
76513,209307
106,284
3634,10354
866,1849
2042,5054
6518,13625
1305,2614
4724,9989
1440,3017
3945,8233
1010,2140
1055,2188
2151,4730
12132,25275
5638,12341
503,1089
3563,7215
3440,7099
8177,17234
2390,4938
814,1748
166,320
108,263
1226,2980
8422,21214
1098,2907
4699,13052
1072,2868
9618,24947
1951,5094
13047,34053
23962,59301
15085,36301
7481,20160
313,790
5497,14951
9646,26060
698,1659
4615,11741
10449,25474
7532,22093
24079,60597
131,256
4853,12853
4630,12724
9831,26681
34049,88624
340,908
28209,74617
156,387
56760,143802
1843,4893
33242,86016
50,138
3079,8045
4044,8802
22921,60659
5314,15452
634,1748
82,256
64,202
164,421
240,689
38289,100171
4473,12114
7943,21689
9779,28609
6166,15103
12402,35903
5330,14856
176,452
872,2197
143,389
1574,3567
8,20
431,1099
1993,5232
1286,3305
492,1375
322,967
187,376
2315,5825
24674,59351
914,2552
156,433
316,779
204,540
175,436
618,1666
5401,12799
2094,5863
1308,3274
6047,14261
52,96
915,2255
419,908
513,1307
100,241
13189,31894
96,230
35,88
1,2
487,1229
1570,3796
2303,6110
259,658
1048,2740
97,284
400,934
1292,3589
1343,3771
521,1461
1171,2747
90,253
465,975
3023,7957
41,85
3728,8831
747,1594
873,2005
842,1956
613,1433
9155,21233
194,474
694,1733
2479,5499
3362,7762
3916,9485
2001,4505
1580,3547
1731,3887
4645,11883
42,86
3478,8325
204,505
1056,2451
248,577
263,745
20,42
1789,3977
93,194
1442,3305
942,2249
10,18
1558,3979
9,24
1345,3162
54,150
154,394
886,1950
2190,5496
2749,6101
792,1770
18632,43539
