place_id;place_name
105;Townsend, Ontario, Canada
108;El Salvador, Chile
109;The forbidden City, China
113;Most (Most District), Czech Republic
115;Prague Castle, Prague, Czech Republic
116;Esbjerg, Denmark
119;Nordhavn, Copenhagen, Denmark
120;Orestad, Copenhagen, Denmark
121;Al Noor City, Djibouti
122;6th of October city, Egypt
123;10th of Ramadan city, Egypt
124;15 May City, Egypt
125;Ain Sokhna, Egypt
127;Borg El Arab, Egypt
130;Madinaty, Egypt
131;New Akhmim, Egypt
132;New Aswan, Egypt
134;New Beni Suef, Egypt
135;New Borg El Arab, Egypt
137;New Damietta, Egypt
139;New Nubariya, Egypt
140;New Qena, Egypt
141;New Salhia, Egypt
142;New Tiba, Egypt
143;Obour city, Egypt
144;Port Fuad, Egypt
145;Port Tewfik, Egypt
146;Ras El Bar, Egypt
147;Ras Sedr, Egypt
148;Sharm El Sheikh, Egypt
149;Sheikh Zayed, Egypt
